
1,Nuit d'Acier,Film d'animation poétique pour toute la famille.,92,1982-03-30
2,Échappée Belle,Comédie noire sur les absurdités de la société moderne.,113,2001-12-20
3,Dernier Acte,Film d'action spectaculaire avec des poursuites et des explosions.,95,1989-03-12
4,L'Ombre du Vent,Film d'animation poétique pour toute la famille.,147,1987-10-19
5,Miroir Brisé,Polar sombre où chaque indice réécrit la vérité.,132,1982-11-07
6,Aube Rouge,Un thriller haletant dans les rues d'une métropole moderne.,89,1999-08-13
7,Dernière Route,Film d'action spectaculaire avec des poursuites et des explosions.,142,1982-05-19
8,Horizons Perdus,Histoire vraie adaptée d'un événement marquant du XXe siècle.,103,2017-08-20
9,Le Chant du Loup,Film d'action spectaculaire avec des poursuites et des explosions.,135,2004-12-15
10,Ville Fantôme,Road movie initiatique qui transforme ses protagonistes.,78,1994-04-28
11,Café du Midi,Comédie noire sur les absurdités de la société moderne.,132,2010-07-11
12,La Promesse,Un documentaire intime qui explore une communauté oubliée.,97,1999-04-26
13,Paradoxe,Road movie initiatique qui transforme ses protagonistes.,121,1989-03-03
14,Sous la Pluie,Une comédie romantique pleine de charme et de quiproquos.,126,1988-09-04
15,Vents Contraires,Fantastique visuel où réalité et rêve se confondent.,122,2003-09-24
16,La Montagne Bleue,Road movie initiatique qui transforme ses protagonistes.,83,2021-03-20
17,Instinct Primordial,Histoire vraie adaptée d'un événement marquant du XXe siècle.,93,2013-12-16
18,Le Signal,Une comédie romantique pleine de charme et de quiproquos.,148,2006-04-20
19,Rêves de Verre,Drame historique richement reconstitué.,158,2012-06-11
20,Fracture,Polar sombre où chaque indice réécrit la vérité.,102,1986-03-29
21,L'Échafaudage,Un thriller haletant dans les rues d'une métropole moderne.,107,2005-12-17
22,La Clef d'Or,Une comédie romantique pleine de charme et de quiproquos.,107,1989-01-22
23,Ménagerie,Une plongée psychologique dans l'esprit d'un artiste tourmenté.,113,2020-09-04
24,Murmures Nocturnes,Film d'animation poétique pour toute la famille.,124,1994-08-04
25,L'Heure Bleue,Fantastique visuel où réalité et rêve se confondent.,123,1998-10-18
26,Cendres,Film d'animation poétique pour toute la famille.,112,1986-05-28
27,La Danseuse,Polar sombre où chaque indice réécrit la vérité.,159,1995-05-09
28,Collision,Histoire vraie adaptée d'un événement marquant du XXe siècle.,109,1994-08-29
29,Les Liens du Sang,Aventure épique à travers des paysages inexplorés.,126,2004-03-20
30,Étoile Filante,Thriller SF où la technologie devint incontrôlable.,159,1999-09-14
31,Opéra de Minuit,Film d'animation poétique pour toute la famille.,119,1985-01-06
32,Zone Blanche,Film d'action spectaculaire avec des poursuites et des explosions.,82,2008-04-19
33,Le Collectionneur,Une plongée psychologique dans l'esprit d'un artiste tourmenté.,112,1985-12-08
34,Reflets Obliques,Film d'action spectaculaire avec des poursuites et des explosions.,150,2008-03-25
35,La Traversée,Film d'action spectaculaire avec des poursuites et des explosions.,141,2015-06-30
36,Balade Urbaine,Thriller SF où la technologie devint incontrôlable.,160,2021-03-01
37,Les Naufragés,Drame familial sur les secrets qui détruisent des vies.,111,1992-07-11
38,Souvenirs Volés,Film d'action spectaculaire avec des poursuites et des explosions.,149,2003-07-28
39,Résilience,Comédie noire sur les absurdités de la société moderne.,152,2018-06-08
40,Le Phare,Thriller SF où la technologie devint incontrôlable.,152,2015-10-31
